project,fingerprint_key,kind,access,origin
PcapPlusPlus,heap-buffer-overflow|READ|SSLHandshake.cpp|1320|eabaec0740beb743,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|SSLHandshake.cpp|1413|440594c38584fa14,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|SipLayer.cpp|894|494645f225a82075,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|SomeIpSdLayer.cpp|242|c0fe6dd6fb127f79,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|SomeIpSdLayer.cpp|347|749b3e4a0a108341,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|READ|light_pcapng.c|58|9ada2742ace5b05a,heap-buffer-overflow,READ,expected
PcapPlusPlus,heap-buffer-overflow|WRITE|GreLayer.cpp|542|da09c54998d29fde,heap-buffer-overflow,WRITE,expected
PcapPlusPlus,heap-buffer-overflow|WRITE|Packet.cpp|660|555b2848c6580d82,heap-buffer-overflow,WRITE,expected
PcapPlusPlus,negative-size-param|-|RawPacket.cpp|137|e5e2e9f49f2e795a,negative-size-param,-,expected
PcapPlusPlus,stack-buffer-overflow|READ|NtpLayer.cpp|254|167412acc22c81e8,stack-buffer-overflow,READ,expected
pcl,container-overflow|WRITE|ply_io.cpp|283|2e7c4c3c79b03346,container-overflow,WRITE,expected
pcl,container-overflow|WRITE|ply_io.cpp|309|8c582c439b27eed8,container-overflow,WRITE,expected
pcl,heap-buffer-overflow|READ|ply_io.cpp|607|9a3738db55c078d8,heap-buffer-overflow,READ,expected
pcl,heap-buffer-overflow|WRITE|ply_io.cpp|283|2e7c4c3c79b03346,heap-buffer-overflow,WRITE,expected
pcl,heap-buffer-overflow|WRITE|ply_io.cpp|283|a7c7e3dfb23eb9b5,heap-buffer-overflow,WRITE,expected
pcl,heap-buffer-overflow|WRITE|ply_io.cpp|283|b11cb9fbefacff0c,heap-buffer-overflow,WRITE,expected
pcl,heap-buffer-overflow|WRITE|ply_io.cpp|309|8c582c439b27eed8,heap-buffer-overflow,WRITE,expected
pcl,heap-buffer-overflow|WRITE|ply_io.cpp|375|99e86c06a1b3742f,heap-buffer-overflow,WRITE,expected
selinux,heap-buffer-overflow|READ|cil_post.c|166|435e02a07233d263,heap-buffer-overflow,READ,expected
selinux,heap-buffer-overflow|READ|cil_resolve_ast.c|2352|79f5bc2f13dfec12,heap-buffer-overflow,READ,expected
selinux,heap-buffer-overflow|READ|cil_verify.c|1624|1f56b0d0eb6c47bc,heap-buffer-overflow,READ,expected
selinux,heap-buffer-overflow|READ|ebitmap.c|232|e9fe037040104df3,heap-buffer-overflow,READ,expected
selinux,heap-buffer-overflow|WRITE|cil_binary.c|357|2d9575e701eb6ece,heap-buffer-overflow,WRITE,expected
selinux,heap-use-after-free|READ|cil_list.c|58|548a54afdcc56cd5,heap-use-after-free,READ,expected
selinux,heap-use-after-free|READ|cil_reset_ast.c|17|ad409b26c9612f52,heap-use-after-free,READ,expected
selinux,heap-use-after-free|READ|cil_resolve_ast.c|1243|9957dc19e4f1558c,heap-use-after-free,READ,expected
selinux,heap-use-after-free|READ|cil_resolve_ast.c|4135|85c58f688e47d20e,heap-use-after-free,READ,expected
selinux,heap-use-after-free|READ|cil_symtab.c|119|1598345e1ea99ca1,heap-use-after-free,READ,expected
selinux,heap-use-after-free|READ|cil_tree.c|127|c75f8a33dc93a799,heap-use-after-free,READ,expected
selinux,stack-use-after-return|READ|cil_copy_ast.c|1412|76695cbfba757d1b,stack-use-after-return,READ,expected
selinux,stack-use-after-return|READ|cil_list.c|62|8bfa2325421e56c0,stack-use-after-return,READ,expected
sleuthkit,heap-buffer-overflow|READ|ext2fs.c|1232|296f6f46c3ccc865,heap-buffer-overflow,READ,expected
sleuthkit,heap-buffer-overflow|READ|ext2fs.c|1895|d734bc595ba66be5,heap-buffer-overflow,READ,expected
sleuthkit,heap-buffer-overflow|READ|ext2fs.c|674|05928faf5e2cbf4e,heap-buffer-overflow,READ,expected
sleuthkit,heap-buffer-overflow|READ|hfs.c|3920|ea835910f59f229b,heap-buffer-overflow,READ,expected
sleuthkit,heap-buffer-overflow|READ|hfs.c|695|2d2c1e323610456b,heap-buffer-overflow,READ,expected
sleuthkit,heap-buffer-overflow|READ|hfs.c|839|428bfc6f13d8412e,heap-buffer-overflow,READ,expected
sleuthkit,heap-buffer-overflow|READ|hfs_dent.c|237|6997fba0cceaaedd,heap-buffer-overflow,READ,expected
sleuthkit,heap-buffer-overflow|READ|hfs_unicompare.c|191|d059c9ef6ce0cd10,heap-buffer-overflow,READ,expected
sleuthkit,heap-buffer-overflow|READ|ntfs.c|1818|595f042a0855ac10,heap-buffer-overflow,READ,expected
sleuthkit,negative-size-param|-|iso9660.c|326|24ad4dcb3f310254,negative-size-param,-,expected
sleuthkit,stack-buffer-overflow|READ|iso9660.c|326|e67df19e44e9e245,stack-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|bele_policy.h|111|eb34933608c7f156,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|bele_policy.h|113|43e831016dbbc8de,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|bele_policy.h|114|670e4f77aa3ad0e5,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|bele_policy.h|172|10d17a69fb121c49,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|n2b_d.c|62|254de872b6ae4c79,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|n2e_d.c|76|e1b3145d8dddb5af,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|n2e_d.c|80|630b83669619a316,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|p_lx_elf.cpp|8249|d1def304fa6d7cbe,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|p_mach.cpp|1670|2c90e261f2afc764,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|p_mach.cpp|1670|6be9ab5e13e73cfd,heap-buffer-overflow,READ,expected
upx,heap-buffer-overflow|READ|snprintf.cpp|37|2b85d60c0642c3ae,heap-buffer-overflow,READ,expected
upx,heap-use-after-free|READ|bele_policy.h|173|3afbb4673c92e8a8,heap-use-after-free,READ,expected
upx,stack-buffer-overflow|READ|p_lx_elf.cpp|7408|f79c37940b474e34,stack-buffer-overflow,READ,expected
upx,stack-buffer-overflow|READ|p_lx_elf.cpp|8553|098d55ff6d13bae1,stack-buffer-overflow,READ,expected
